,base,sequence length,number of pairs,total possible pairs
0,2,3,2,4
1,3,8,7,9
2,4,6,5,16
3,5,20,19,25
4,6,24,23,36
5,7,16,15,49
6,8,12,11,64
7,9,24,23,81
8,10,60,59,100
9,11,10,9,121
10,12,24,23,144
11,13,28,27,169
12,14,48,47,196
13,15,40,39,225
14,16,24,23,256
15,17,36,35,289
16,18,24,23,324
17,19,18,17,361
18,20,60,59,400
19,21,16,15,441
20,22,30,29,484
21,23,48,47,529
22,24,24,23,576
23,25,100,99,625
24,26,84,83,676
25,27,72,71,729
26,28,48,47,784
27,29,14,13,841
28,30,120,119,900
29,31,30,29,961
30,32,48,47,1024
31,33,40,39,1089
32,34,36,35,1156
33,35,80,79,1225
34,36,24,23,1296
35,37,76,75,1369
36,38,18,17,1444
37,39,56,55,1521
38,40,60,59,1600
39,41,40,39,1681
40,42,48,47,1764
41,43,88,87,1849
42,44,30,29,1936
43,45,120,119,2025
44,46,48,47,2116
45,47,32,31,2209
46,48,24,23,2304
47,49,112,111,2401
48,50,300,299,2500
49,51,72,71,2601
50,52,84,83,2704
51,53,108,107,2809
52,54,72,71,2916
53,55,20,19,3025
54,56,48,47,3136
55,57,72,71,3249
56,58,42,41,3364
57,59,58,57,3481
58,60,120,119,3600
59,61,60,59,3721
60,62,30,29,3844
61,63,48,47,3969
62,64,96,95,4096
63,65,140,139,4225
64,66,120,119,4356
65,67,136,135,4489
66,68,36,35,4624
67,69,48,47,4761
68,70,240,239,4900
69,71,70,69,5041
70,72,24,23,5184
71,73,148,147,5329
72,74,228,227,5476
73,75,200,199,5625
74,76,18,17,5776
75,77,80,79,5929
76,78,168,167,6084
77,79,78,77,6241
78,80,120,119,6400
79,81,216,215,6561
80,82,120,119,6724
81,83,168,167,6889
82,84,48,47,7056
83,85,180,179,7225
84,86,264,263,7396
85,87,56,55,7569
86,88,60,59,7744
87,89,44,43,7921
88,90,120,119,8100
89,91,112,111,8281
90,92,48,47,8464
91,93,120,119,8649
92,94,96,95,8836
93,95,180,179,9025
94,96,48,47,9216
95,97,196,195,9409
96,98,336,335,9604
97,99,120,119,9801
98,100,300,299,10000
99,101,50,49,10201
100,102,72,71,10404
101,103,208,207,10609
102,104,84,83,10816
103,105,80,79,11025
104,106,108,107,11236
105,107,72,71,11449
106,108,72,71,11664
107,109,108,107,11881
108,110,60,59,12100
109,111,152,151,12321
110,112,48,47,12544
111,113,76,75,12769
112,114,72,71,12996
113,115,240,239,13225
114,116,42,41,13456
115,117,168,167,13689
116,118,174,173,13924
117,119,144,143,14161
118,120,120,119,14400
119,121,110,109,14641
120,122,60,59,14884
121,123,40,39,15129
122,124,30,29,15376
123,125,500,499,15625
124,126,48,47,15876
125,127,256,255,16129
126,128,192,191,16384
127,129,88,87,16641
128,130,420,419,16900
129,131,130,129,17161
130,132,120,119,17424
131,133,144,143,17689
132,134,408,407,17956
133,135,360,359,18225
134,136,36,35,18496
135,137,276,275,18769
136,138,48,47,19044
137,139,46,45,19321
138,140,240,239,19600
139,141,32,31,19881
140,142,210,209,20164
141,143,140,139,20449
142,144,24,23,20736
143,145,140,139,21025
144,146,444,443,21316
145,147,112,111,21609
146,148,228,227,21904
147,149,148,147,22201
148,150,600,599,22500
149,151,50,49,22801
150,152,36,35,23104
151,153,72,71,23409
152,154,240,239,23716
153,155,60,59,24025
154,156,168,167,24336
155,157,316,315,24649
156,158,78,77,24964
157,159,216,215,25281
158,160,240,239,25600
159,161,48,47,25921
160,162,216,215,26244
161,163,328,327,26569
162,164,120,119,26896
163,165,40,39,27225
164,166,168,167,27556
165,167,336,335,27889
166,168,48,47,28224
167,169,364,363,28561
168,170,180,179,28900
169,171,72,71,29241
170,172,264,263,29584
171,173,348,347,29929
172,174,168,167,30276
173,175,400,399,30625
174,176,120,119,30976
175,177,232,231,31329
176,178,132,131,31684
177,179,178,177,32041
178,180,120,119,32400
179,181,90,89,32761
180,182,336,335,33124
181,183,120,119,33489
182,184,48,47,33856
183,185,380,379,34225
184,186,120,119,34596
185,187,180,179,34969
186,188,96,95,35344
187,189,144,143,35721
188,190,180,179,36100
189,191,190,189,36481
190,192,96,95,36864
191,193,388,387,37249
192,194,588,587,37636
